Player: 15, Hour: "2025-03-17 23:54:04.052094", Sound:18.94952326284017, IDGame:1, IDSound:0
Player:15, Marsami:21, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:0
Player:15, Marsami:26, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:1
Player:15, Marsami:14, RoomOrigin:6, RoomDestiny: 8, Status:1, IDGame:1, IDSound:2
Player: 15, Hour: "2025-03-17 23:54:05.121015", Sound:19.149837245122235, IDGame:1, IDSound:1
Player:15, Marsami:11, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:3
Player:15, Marsami:10, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:4
Player: 15, Hour: "2025-03-17 23:54:06.200331", Sound:19.18, IDGame:1, IDSound:2
Player:15, Marsami:26, RoomOrigin:1, RoomDestiny: 2, Status:1, IDGame:1, IDSound:5
Player:15, Marsami:17, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:6
Player: 15, Hour: "2025-03-17 23:54:07.271681", Sound:19.26, IDGame:1, IDSound:3
Player:15, Marsami:25, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:7
Player:15, Marsami:1, RoomOrigin:8, RoomDestiny: 10, Status:1, IDGame:1, IDSound:8
Player:15, Marsami:12, RoomOrigin:9, RoomDestiny: 7, Status:1, IDGame:1, IDSound:9
Player: 15, Hour: "2025-03-17 23:54:08.343944", Sound:19.32, IDGame:1, IDSound:4
Player:15, Marsami:20, RoomOrigin:2, RoomDestiny: 4, Status:1, IDGame:1, IDSound:10
Player:15, Marsami:29, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:11
Player:15, Marsami:2, RoomOrigin:9, RoomDestiny: 7, Status:1, IDGame:1, IDSound:12
Player: 15, Hour: "2025-03-17 23:54:09.408964", Sound:19.4, IDGame:1, IDSound:5
Player:15, Marsami:1, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:13
Player:15, Marsami:24, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:14
Player: 15, Hour: "2025-03-17 23:54:10.473402", Sound:19.342643706058535, IDGame:1, IDSound:6
Player:15, Marsami:26, RoomOrigin:2, RoomDestiny: 4, Status:1, IDGame:1, IDSound:15
Player:15, Marsami:26, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:16
Player: 15, Hour: "2025-03-17 23:54:11.549417", Sound:19.54, IDGame:1, IDSound:7
Player:15, Marsami:19, RoomOrigin:6, RoomDestiny: 8, Status:1, IDGame:1, IDSound:17
Player:15, Marsami:1, RoomOrigin:1, RoomDestiny: 3, Status:1, IDGame:1, IDSound:18
Player: 15, Hour: "2025-03-17 23:54:12.627069", Sound:19.62, IDGame:1, IDSound:8
Player: 15, Hour: "2025-03-17 23:54:13.699358", Sound:19.50532843667881, IDGame:1, IDSound:9
Player:15, Marsami:9, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:19
Player:15, Marsami:12, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:20
Player:15, Marsami:24, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:21
Player:15, Marsami:4, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:22
Player: 15, Hour: "2025-03-17 23:54:14.804479", Sound:19.76, IDGame:1, IDSound:10
Player: 15, Hour: "2025-03-17 23:54:15.890035", Sound:19.791252302341448, IDGame:1, IDSound:11
Player:15, Marsami:7, RoomOrigin:6, RoomDestiny: 8, Status:1, IDGame:1, IDSound:23
Player:15, Marsami:12, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:24
Player:15, Marsami:28, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:25
Player: 15, Hour: "2025-03-17 23:54:16.953072", Sound:19.902793830927454, IDGame:1, IDSound:12
Player:15, Marsami:9, RoomOrigin:1, RoomDestiny: 2, Status:1, IDGame:1, IDSound:26
Player:15, Marsami:28, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:27
Player: 15, Hour: "2025-03-17 23:54:18.018317", Sound:20.03138953912124, IDGame:1, IDSound:13
Player:15, Marsami:24, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:28
Player:15, Marsami:16, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:29
Player: 15, Hour: "2025-03-17 23:54:19.077039", Sound:20.06, IDGame:1, IDSound:14
Player:15, Marsami:5, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:30
Player:15, Marsami:17, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:31
Player: 15, Hour: "2025-03-17 23:54:20.151146", Sound:20.123210047656904, IDGame:1, IDSound:15
Player:15, Marsami:2, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:32
Player:15, Marsami:11, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:33
Player: 15, Hour: "2025-03-17 23:54:21.218200", Sound:20.2, IDGame:1, IDSound:16
Player:15, Marsami:16, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:34
Player:15, Marsami:22, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:35
Player:15, Marsami:10, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:36
Player: 15, Hour: "2025-03-17 23:54:22.281192", Sound:20.194301038782044, IDGame:1, IDSound:17
Player:15, Marsami:20, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:37
Player:15, Marsami:28, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:38
Player: 15, Hour: "2025-03-17 23:54:23.334517", Sound:20.144635145838986, IDGame:1, IDSound:18
Player:15, Marsami:30, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:39
Player:15, Marsami:3, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:40
Player: 15, Hour: "2025-03-17 23:54:24.400233", Sound:20.42, IDGame:1, IDSound:19
Player:15, Marsami:2, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:41
Player:15, Marsami:10, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:42
Player:15, Marsami:18, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:43
Player: 15, Hour: "2025-03-17 23:54:25.470389", Sound:20.389667460628672, IDGame:1, IDSound:20
Player:15, Marsami:16, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:44
Player:15, Marsami:25, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:45
Player: 15, Hour: "2025-03-17 23:54:26.533019", Sound:20.36030289227676, IDGame:1, IDSound:21
Player:15, Marsami:28, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:46
Player:15, Marsami:5, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:47
Player: 15, Hour: "2025-03-17 23:54:27.598846", Sound:20.64, IDGame:1, IDSound:22
Player:15, Marsami:13, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:48
Player:15, Marsami:13, RoomOrigin:2, RoomDestiny: 4, Status:1, IDGame:1, IDSound:49
Player: 15, Hour: "2025-03-17 23:54:28.665399", Sound:20.664918658346483, IDGame:1, IDSound:23
Player:15, Marsami:3, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:50
Player:15, Marsami:10, RoomOrigin:2, RoomDestiny: 5, Status:1, IDGame:1, IDSound:51
Player:15, Marsami:28, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:52
Player: 15, Hour: "2025-03-17 23:54:29.731694", Sound:20.78, IDGame:1, IDSound:24
Player:15, Marsami:25, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:53
Player:15, Marsami:17, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:54
Player:15, Marsami:22, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:55
Player: 15, Hour: "2025-03-17 23:54:30.805142", Sound:20.86, IDGame:1, IDSound:25
Player:15, Marsami:11, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:56
Player:15, Marsami:27, RoomOrigin:1, RoomDestiny: 3, Status:1, IDGame:1, IDSound:57
Player: 15, Hour: "2025-03-17 23:54:31.900396", Sound:20.92, IDGame:1, IDSound:26
Player:15, Marsami:12, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:58
Player:15, Marsami:7, RoomOrigin:9, RoomDestiny: 7, Status:1, IDGame:1, IDSound:59
Player: 15, Hour: "2025-03-17 23:54:32.970290", Sound:21.0, IDGame:1, IDSound:27
Player:15, Marsami:26, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:60
Player:15, Marsami:12, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:61
Player:15, Marsami:29, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:62
Player: 15, Hour: "2025-03-17 23:54:34.036223", Sound:21.06, IDGame:1, IDSound:28
Player:15, Marsami:24, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:63
Player:15, Marsami:13, RoomOrigin:4, RoomDestiny: 5, Status:1, IDGame:1, IDSound:64
Player:15, Marsami:6, RoomOrigin:5, RoomDestiny: 7, Status:1, IDGame:1, IDSound:65
Player:15, Marsami:8, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:66
Player: 15, Hour: "2025-03-17 23:54:35.108246", Sound:21.105503340003708, IDGame:1, IDSound:29
Player: 15, Hour: "2025-03-17 23:54:36.168462", Sound:21.22, IDGame:1, IDSound:30
Player:15, Marsami:16, RoomOrigin:5, RoomDestiny: 3, Status:1, IDGame:1, IDSound:67
Player:15, Marsami:14, RoomOrigin:8, RoomDestiny: 10, Status:1, IDGame:1, IDSound:68
Player: 15, Hour: "2025-03-17 23:54:37.249557", Sound:21.28, IDGame:1, IDSound:31
Player:15, Marsami:5, RoomOrigin:3, RoomDestiny: 2, Status:1, IDGame:1, IDSound:69
Player:15, Marsami:6, RoomOrigin:7, RoomDestiny: 5, Status:1, IDGame:1, IDSound:70
Player:15, Marsami:14, RoomOrigin:10, RoomDestiny: 1, Status:1, IDGame:1, IDSound:71
